🕘️更新时间,#genre#
2026-04-03 13:13:47,https://t.freetv.fun/live/cctv-1hd.m3u8

📺央视频道,#genre#
CCTV-1,https://t.freetv.fun/live/cctv-1hd.m3u8
CCTV-1,https://t.freetv.fun/live/cctv-1hd-1.m3u8
CCTV-1,https://t.freetv.fun/live/cctv1-4.m3u8
CCTV-1,https://t.freetv.fun/live/cctv1-3.m3u8
CCTV-1,https://t.freetv.fun/live/cctv-1.m3u8
CCTV-3,https://t.freetv.fun/live/cctv-3hd.m3u8
CCTV-3,https://t.freetv.fun/live/cctv-3hd-1.m3u8
CCTV-3,https://t.freetv.fun/live/cctv3hd-1.m3u8
CCTV-3,https://t.freetv.fun/live/cctv-3.m3u8
CCTV-4,https://t.freetv.fun/live/cctv4k.php
CCTV-4,https://t.freetv.fun/live/cctv4-4.m3u8
CCTV-4,https://t.freetv.fun/live/cctv-4hd.m3u8
CCTV-4,https://t.freetv.fun/live/cctv4-1.m3u8
CCTV-4,https://t.freetv.fun/live/cctv4-3.m3u8
CCTV-5,https://t.freetv.fun/live/cctv-5hd.m3u8
CCTV-5,https://t.freetv.fun/live/cctv-5hd-1.m3u8
CCTV-5,https://t.freetv.fun/live/cctv5-5.m3u8
CCTV-5,https://t.freetv.fun/live/cctv-5.m3u8
CCTV-5+,https://t.freetv.fun/live/cctv-5-plusti-yu-sai-shi-3.m3u8
CCTV-5+,https://t.freetv.fun/live/cctv-5-plusti-yu-sai-shi-4.m3u8
CCTV-5+,https://t.freetv.fun/live/cctv5-plus-1.m3u8
CCTV-5+,https://t.freetv.fun/live/cctv5-plus-6.m3u8
CCTV-6,https://t.freetv.fun/live/cctv-6hd-1.m3u8
CCTV-6,https://t.freetv.fun/live/cctv-6hd.m3u8
CCTV-6,https://t.freetv.fun/live/cctv6-1.m3u8
CCTV-6,https://t.freetv.fun/live/cctv-6.m3u8
CCTV-7,https://t.freetv.fun/live/cctv-7hd.m3u8
CCTV-7,https://t.freetv.fun/live/cctv-7hd-1.m3u8
CCTV-7,https://t.freetv.fun/live/cctv7.m3u8
CCTV-7,https://t.freetv.fun/live/cctv-7.m3u8
CCTV-8,https://t.freetv.fun/live/cctv8-4.php
CCTV-8,https://t.freetv.fun/live/cctv8-1.m3u8
CCTV-9,https://t.freetv.fun/live/cctv9-4.m3u8
CCTV-9,https://t.freetv.fun/live/cctv-9hd.m3u8
CCTV-9,https://t.freetv.fun/live/cctv9.m3u8
CCTV-9,https://t.freetv.fun/live/cctv-9hd-1.m3u8
CCTV-9,https://t.freetv.fun/live/cctv9-3.m3u8
CCTV-10,https://t.freetv.fun/live/cctv-10hd-1.m3u8
CCTV-10,https://t.freetv.fun/live/cctv-10hd.m3u8
CCTV-10,https://t.freetv.fun/live/cctv-10ke-jiao-4.m3u8
CCTV-10,https://t.freetv.fun/live/cctv10-1.m3u8
CCTV-10,https://t.freetv.fun/live/cctv-10-3.m3u8
CCTV-11,https://t.freetv.fun/live/cctv-11hd-1.m3u8
CCTV-11,https://t.freetv.fun/live/cctv-11hd.m3u8
CCTV-11,https://t.freetv.fun/live/cctv-11.m3u8
CCTV-12,https://t.freetv.fun/live/cctv-12hd.m3u8
CCTV-12,https://t.freetv.fun/live/cctv-12hd-1.m3u8
CCTV-12,https://t.freetv.fun/live/cctv12-3.m3u8
CCTV-12,https://t.freetv.fun/live/cctv-12.m3u8
CCTV-13,https://t.freetv.fun/live/cctv13-5.php
CCTV-13,https://t.freetv.fun/live/cctv-13hd-1.m3u8
CCTV-13,https://t.freetv.fun/live/cctv-13xin-wen-4.m3u8
CCTV-13,https://t.freetv.fun/live/cctv-13xin-wen-7.m3u8
CCTV-13,https://t.freetv.fun/live/cctv-13hd.m3u8
CCTV-14,https://t.freetv.fun/live/cctv14-5.m3u8
CCTV-14,https://t.freetv.fun/live/cctv-14hd.m3u8
CCTV-14,https://t.freetv.fun/live/cctv-14hd-1.m3u8
CCTV-14,https://t.freetv.fun/live/cctv14hd.m3u8
CCTV-14,https://t.freetv.fun/live/cctv-14.m3u8
CCTV-15,https://t.freetv.fun/live/cctv-15hd.m3u8
CCTV-15,https://t.freetv.fun/live/cctv-15yin-le-7.m3u8
CCTV-15,https://t.freetv.fun/live/cctv-15yin-le-2.m3u8
CCTV-15,https://t.freetv.fun/live/cctv-15hd-1.m3u8
CCTV-15,https://t.freetv.fun/live/cctv-15-1.m3u8
CCTV-16,https://t.freetv.fun/live/cctv-16hd.m3u8
CCTV-16,https://t.freetv.fun/live/cctv16-5.m3u8
CCTV-16,https://t.freetv.fun/live/cctv16-2.m3u8
CCTV-16,https://t.freetv.fun/live/cctv16.m3u8
CCTV-16,https://t.freetv.fun/live/cctv16-6.m3u8
CCTV-17,https://t.freetv.fun/live/cctv-17hd-1.m3u8
CCTV-17,https://t.freetv.fun/live/cctv-17hd.m3u8
CETV-1,https://t.freetv.fun/live/cetv1.m3u8

📡卫视频道,#genre#
香港卫视,https://stream1.freetv.fun/5335c88a9a7d8b74173b491f480d4f94e8d3bd596af54478106aa2399e6c7917.m3u8
香港卫视,https://stream1.freetv.fun/5335c88a9a7d8b74173b491f480d4f94e8d3bd596af54478106aa2399e6c7917.ctv
香港卫视,https://stream1.freetv.fun/c751876ae5ceaa0d82b5cf2badc152342aa92a4b45bf504d12ee45966b2fc644.ctv
香港卫视,https://stream1.freetv.fun/ae7eaf28d8610cdc1651ef6a1f7dbb24b49c5a87627d0d881330afaea37a1616.m3u8
湖南卫视,https://t.freetv.fun/live/hu-nan-wei-shi-19.m3u8
湖南卫视,https://t.freetv.fun/live/hu-nan-wei-shi-5.m3u8
湖南卫视,https://t.freetv.fun/live/hu-nan-wei-shi-2.m3u8
湖南卫视,https://t.freetv.fun/live/hu-nan-wei-shi-3.m3u8
湖南卫视,https://t.freetv.fun/live/hu-nan-wei-shi-14.m3u8
北京卫视,https://t.freetv.fun/live/bei-jing-wei-shi-17.m3u8
北京卫视,https://t.freetv.fun/live/bei-jing-wei-shi-6.m3u8
北京卫视,https://t.freetv.fun/live/bei-jing-wei-shi.m3u8
北京卫视,https://t.freetv.fun/live/bei-jing-wei-shi-4.m3u8
北京卫视,https://t.freetv.fun/live/bei-jing-wei-shi-12.m3u8
四川卫视,https://t.freetv.fun/live/si-chuan-wei-shi-11.php
四川卫视,https://t.freetv.fun/live/si-chuan-wei-shi.m3u8
四川卫视,https://t.freetv.fun/live/si-chuan-wei-shi-20.m3u8
四川卫视,https://t.freetv.fun/live/si-chuan-wei-shi-6.m3u8
四川卫视,https://t.freetv.fun/live/si-chuan-wei-shi-8.m3u8
